"@timestamp","kubernetes.pod_name",log
"May 5, 2025 @ 21:31:29.489","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:29.489Z"",""msg"":""no new tags found, next scan in 1m0s"",""controller"":""imagerepository"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImageRepository"",""ImageRepository"":{""name"":""stg-portfolio-app"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-app"",""reconcileID"":""4b6b0b6b-151e-4abd-bde8-9b1280b6a6ec""}"
"May 5, 2025 @ 21:31:28.895","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:28.895Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-app' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061233"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-app"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-app"",""reconcileID"":""2eb7aca1-d270-4f83-80d5-0d8627a9a426""}"
"May 5, 2025 @ 21:31:27.050","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:27.050Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-backend' resolved to main-3e00541a62fac2c31d54d49d4cf5367c5b88be7d-20250419030144"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-backend"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-backend"",""reconcileID"":""c9c5f987-ea15-47a8-93ad-79f908365834""}"
"May 5, 2025 @ 21:31:27.042","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:27.042Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-backend' resolved to main-3e00541a62fac2c31d54d49d4cf5367c5b88be7d-20250419030144"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-backend"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-backend"",""reconcileID"":""5d954ba8-7184-4d76-988e-48612e3f0457""}"
"May 5, 2025 @ 21:31:27.036","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:27.036Z"",""msg"":""no new tags found, next scan in 1m0s"",""controller"":""imagerepository"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImageRepository"",""ImageRepository"":{""name"":""stg-portfolio-backend"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-backend"",""reconcileID"":""e4281837-76d3-4d96-a14d-b5bc5322ae89""}"
"May 5, 2025 @ 21:31:26.417","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:31:26.417Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-backend' resolved to main-3e00541a62fac2c31d54d49d4cf5367c5b88be7d-20250419030144"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-backend"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-backend"",""reconcileID"":""fe42d082-277f-4ddb-b64e-8e06240ce5ad""}"
"May 5, 2025 @ 21:30:32.659","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:32.659Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-updater' resolved to main-eaa8eca0f1b7f9f8c9c32e81ead6a7751fc3e223-20250419095702"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""975486b1-8a73-44b8-a07c-1be62ac122eb""}"
"May 5, 2025 @ 21:30:32.651","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:32.651Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-updater' resolved to main-eaa8eca0f1b7f9f8c9c32e81ead6a7751fc3e223-20250419095702"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""59ba43ef-4c23-4310-9e42-ae9112bee52d""}"
"May 5, 2025 @ 21:30:32.644","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:32.644Z"",""msg"":""no new tags found, next scan in 1m0s"",""controller"":""imagerepository"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImageRepository"",""ImageRepository"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""bf484452-198e-4c46-a778-9d0415d12bb3""}"
"May 5, 2025 @ 21:30:32.061","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:32.061Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-updater' resolved to main-eaa8eca0f1b7f9f8c9c32e81ead6a7751fc3e223-20250419095702"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-updater"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-updater"",""reconcileID"":""7018adef-1aeb-47a9-8965-e3a2f3c7673f""}"
"May 5, 2025 @ 21:30:32.059","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:32.059Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-admin' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061235"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-admin"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-admin"",""reconcileID"":""6b2f6270-504d-42f3-8588-a62c1847f6ee""}"
"May 5, 2025 @ 21:30:32.050","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:32.050Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-admin' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061235"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-admin"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-admin"",""reconcileID"":""b6b85d7c-ea34-476a-b39c-3a8131d03782""}"
"May 5, 2025 @ 21:30:32.043","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:32.043Z"",""msg"":""no new tags found, next scan in 1m0s"",""controller"":""imagerepository"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImageRepository"",""ImageRepository"":{""name"":""stg-portfolio-admin"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-admin"",""reconcileID"":""723882a2-f71d-4d67-8a1b-fc3f29978ce9""}"
"May 5, 2025 @ 21:30:31.459","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:31.459Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-admin' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061235"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-admin"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-admin"",""reconcileID"":""c97d3b9e-bcc6-4a29-98f9-ed30fac19134""}"
"May 5, 2025 @ 21:30:28.890","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:28.890Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-app' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061233"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-app"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-app"",""reconcileID"":""ac43868e-d0a1-445f-bc4d-52e5dcdbc192""}"
"May 5, 2025 @ 21:30:28.879","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:28.879Z"",""msg"":""Latest image tag for 'ghcr.io/piny940/portfolio-app' resolved to main-306dc704b64b2030867772a465221a2489566ac6-20250419061233"",""controller"":""imagepolicy"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImagePolicy"",""ImagePolicy"":{""name"":""stg-portfolio-app"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-app"",""reconcileID"":""ccf23cbe-6e88-4c18-a42a-150669e7890b""}"
"May 5, 2025 @ 21:30:28.871","image-reflector-controller-6f7dcd8fd8-rt9rb","{""level"":""info"",""ts"":""2025-05-05T12:30:28.871Z"",""msg"":""no new tags found, next scan in 1m0s"",""controller"":""imagerepository"",""controllerGroup"":""image.toolkit.fluxcd.io"",""controllerKind"":""ImageRepository"",""ImageRepository"":{""name"":""stg-portfolio-app"",""namespace"":""default""},""namespace"":""default"",""name"":""stg-portfolio-app"",""reconcileID"":""1acc50b2-5003-4589-9a01-6f575ea6337a""}"
